>> randmatr(99,99,9999,mid)
	Ans:
	 -2499	 9063,700	 -2459	 1298,700	 4676	 9673	 -4599	 -4636	 1034	 -6761	 -9990	 -1474	 -8151	 9492,200	 9787,150	 5645	 2325,550	 3354	 -9473	 6392,450	 7507	 -2436	 9308,800	 -599,700	 -7788	 6879,450	 -9430	 3150	 1396	 -9551	 -2885	 2736,900	 6345,600	 -6009,850	 4060	 -3352,950	 -2939,200	 -1547	 -1470	 -7311,050	 -3760,100	 -3232,450	 -6975	 7227	 -4737	 5337,800	 5352	 6856,500	 -2456,300	 1925,700	 3010,150	 -3357,950	 -345	 6545,900	 -5098,050	 4087	 5614,800	 7039	 -1715,950	 -7034	 -5275	 -4059	 -6156	 6142	 8341,800	 -9704,400	 6776,550	 1545,550	 5999,950	 -8936,400	 -3222	 -9589	 6233	 3750	 4811,150	 -8045	 -7471,100	 6905	 9585	 3609	 9773	 124,500	 -8417	 -9039,400	 1607,700	 8202,550	 7556,900	 6522,650	 4048,100	 3084,850	 3407	 -8483	 -4198,950	 -9768	 -1733	 -254	 -9368,200	 -8934	 -2249,200
	 7765	 2198,250	 -1872	 -774	 440	 -3265	 4586,100	 -3004,250	 6055,050	 -6039	 -5268,550	 298	 117	 1633	 7107	 1999,300	 1974,450	 -5884,350	 6925	 881	 -6576	 -9652,800	 9376	 5404,750	 -6597	 -8372	 512,300	 -8147,100	 7954	 4585,600	 7310	 -5279,300	 -426,650	 -268,400	 -6410,900	 -7721	 5076,250	 977,450	 3381	 -4838,550	 -3838,350	 6530,950	 -1554,100	 -9101,900	 1762,500	 6537	 1521	 2264,400	 -3626,800	 7863	 1983,450	 2357,900	 3449,300	 1423	 5546,550	 -5735	 8060,850	 -7573,100	 -5361,300	 8231,050	 -2091	 -1056,950	 -8904	 -5768,900	 -3144	 9176,550	 -2174	 -7214,150	 129,350	 -7161,700	 1072	 -8019	 5301,650	 6994,150	 -94,050	 3520	 -1776,050	 1822	 -5375,500	 -4253,300	 -1975	 -3397,250	 -9347	 6482	 -9657,950	 1396,450	 -379	 3621	 2899,500	 4763	 4247	 6327	 2601,450	 -7078,350	 -1344,750	 4756	 -1752	 -9260	 790
	 1166	 -1954,600	 -43,850	 -1445,600	 335	 -3962	 -4989,400	 -3684,700	 2156	 6594	 1870,550	 -6584,800	 -5694	 -8890,250	 -9730	 -8664,850	 7880	 6034	 -5286	 -8854	 3886	 6410,300	 4674	 7888,150	 3476,100	 4010	 9348,050	 -6469,200	 -173,350	 4253	 7368,150	 5119	 -5464,100	 -8965,800	 -3134,350	 -194	 6443,950	 -6421,250	 6268	 3348,750	 5768	 -5487,250	 -8760,050	 3753,700	 -8577	 3238,250	 8113,650	 6687,750	 -5561,450	 3792,100	 -728	 -5690	 -4631	 -8694	 -9211,200	 -5851,650	 8551,750	 -3784	 7789,950	 9684	 -8848	 376	 -2104	 9270	 -170	 -5810	 -1887	 -4988	 2989	 8913	 5618	 -1717	 1425	 3283	 -2219,850	 -6506,900	 -4683,650	 8585	 -8173,850	 6751	 423	 1325	 -449	 1074,600	 1400,200	 -2369	 -2548	 4768,350	 -4903,400	 8527,550	 -2330,400	 -5363	 1744	 238	 -9851	 -9355	 6931,100	 8621,250	 -8610
	 3688	 2236	 1935,200	 190	 3112	 -2579	 -8992	 5768	 -4406	 2076	 -8994	 -1347	 -7935	 -388,400	 3919,450	 -268	 4295,350	 1463,200	 -4095,200	 7857,350	 -2217	 -5563,400	 8616,900	 -8606,400	 -7423,350	 -950	 8707	 -5919,650	 8701,900	 1792	 4575	 -9352,400	 -2188	 9161	 4562,300	 -7482	 7683	 -3601	 -4299,300	 9025	 -8741	 8784	 7161,150	 -5465	 -3203	 -1587	 7560	 -3176,450	 848	 4311,950	 -9769	 7167	 -9369	 8815	 5631	 -2521	 7496	 8066,550	 5026	 -5105	 8103,800	 -441,150	 4556,500	 9232	 4935,600	 -5419,300	 3867	 -6331,400	 -7184,550	 8481,650	 -1575,700	 4047	 -6946	 6637,950	 9653	 7221	 -8124,400	 8993,600	 2057	 -6211	 -5249	 1100,950	 1427,250	 -4363	 3286,550	 4516,900	 -6675	 -6321	 6317,250	 4475,400	 5932	 6171	 1822	 -2299,600	 6459	 -6991,100	 -8672,100	 8265	 5198
	 -3632,700	 -6579	 4395,800	 6407	 3123	 8031	 -5920	 -9860,400	 -596	 8099,800	 2406	 -5830	 -7329	 292,250	 -1493,100	 -9841,950	 1737	 1390,150	 4987,750	 -6820	 104	 2010	 7759	 8781,700	 2990,800	 -5728	 9129	 6689,650	 -6524	 5080	 -7919	 -4690,250	 8118	 1640,650	 8590	 -3828	 7467,600	 862	 9915,450	 2456,300	 1831	 -717,550	 1707	 -9269	 7710	 5158,150	 -8143,750	 44	 -4711	 -637,700	 3964,100	 -2461	 -7647	 -3281,200	 -5668	 -5317	 -4942	 4434	 -4667	 3290,500	 903	 -750	 -6904	 5477	 4335,650	 9960	 -7630	 -3341,950	 342	 -3049,850	 6449	 5757,100	 6443,850	 5356	 -4910,900	 1772	 -1514,750	 -6446,100	 -1753	 803,400	 577	 3534,700	 -1403,300	 -7276	 -5370,300	 4891	 -9337	 -8392	 -175,050	 8981,450	 -513	 -933,650	 -2549,100	 -5029	 -3279,350	 -5362	 1461	 -5657,300	 7009
	 -7650,450	 176,550	 5564	 2596	 7625	 -505,350	 -4484,300	 8999	 3654	 3018,550	 9323,800	 9678	 -8633	 9483,150	 -4723	 2574	 2160	 -7124,700	 -3598,250	 6398,400	 -2470	 -4374,850	 5406	 -405	 4707,650	 -9707	 4585,400	 -176,250	 -7503	 -9904,050	 -2659	 -3104,550	 6396	 -6297	 2964,550	 -2980,550	 7201,700	 -5328	 -8671	 1273,100	 2183	 -9082,100	 -908,200	 6174	 3001,200	 -5390	 -5884	 -748,150	 9505,500	 7888,300	 -326,850	 7496	 3543	 -5212,500	 -4860	 1602	 1920	 4743	 -5228,150	 3861	 2668	 8117	 -8762,750	 -7366,250	 3745	 9070,750	 -4478	 1244,800	 -1685	 6227	 9867	 -5750	 -4260	 -3512	 -4632,100	 8903,700	 2446	 2396,750	 864,400	 -5227	 1776	 8456,550	 4806	 9337	 -3011	 -3232,200	 6677,250	 -7475	 6542	 -2612	 9658,350	 8001	 5792,200	 -6181,100	 1158	 4183	 -5740	 8981,900	 2846
	 -7205	 -7401,550	 2103,800	 6840,250	 7902	 -1594	 -8132	 -315	 -6687	 -4975	 6259,150	 748	 -8805	 -7537	 4473,550	 6702,900	 9861,450	 4577	 1272,050	 -1287	 -6425,450	 -8320	 9194,950	 -6035	 2245	 2662,050	 -985	 8207	 -6016,400	 -4155	 3807	 911	 8304,850	 2620	 -2947,100	 -297,050	 -7034	 3084,950	 146	 5721,950	 2242	 7778	 -295	 6526	 -386,200	 4665,200	 68	 8190,150	 2687,850	 -4483	 1382	 3249	 -6715,350	 -9181,750	 -1343	 -3890	 559	 -2653	 2184	 -7415,900	 -9929	 -2424	 4712	 5179	 -3340,550	 5009,200	 5764	 -9208	 4049,950	 4633,800	 8491,550	 2427,150	 -940,650	 -7410,900	 9457	 1618,500	 -6706,650	 -5783	 6727,050	 3147,050	 -9760	 4635,550	 -3320	 8737	 632	 960,100	 -5098,550	 -8650	 -6007,400	 319	 1583,550	 -3293	 -788,900	 2819	 -3209,750	 -6273	 -7897	 3577,800	 -4006
	 -9552,550	 -7218	 2981,450	 1277	 -2858	 780	 9298,850	 8588	 3229,700	 781,600	 -7198	 -3573	 -372,900	 -3132,300	 -4489	 6369	 3191	 -1831,650	 5745	 -9177	 4892,900	 3805,800	 -8419,150	 8375,500	 8347,850	 22	 -7636,700	 -7823	 -9632,950	 7375	 -7553	 1680	 139,100	 915	 6256	 -6798	 -1271	 -8805	 8848	 9636	 5476	 -954	 -8912,900	 -5251,450	 2985,250	 1983	 3586	 2411	 -2681,850	 -4864	 -1425,600	 -3792,250	 -4961,850	 -5400	 3781,150	 -242,150	 3751	 -3902,300	 7533,250	 3181	 7776	 6837	 -833	 -3921,350	 -4406,300	 -6534,500	 -6087,550	 2417,750	 695	 -6010,250	 -3613	 -2265,150	 2508	 6588,050	 1844	 -5990,550	 -996	 -6826	 -692	 2634	 7638,700	 599	 5733	 -9141	 -3716,800	 7430	 5353,950	 -7919,300	 -9244,400	 9131,900	 -6668	 -4587,150	 -9374	 -413	 7855	 4880	 9911,200	 -8171,700	 -150
	 3658	 4315,750	 5875	 -5595	 3733,850	 -8361	 -3420	 3079	 6386	 -2984	 -668,650	 -8761	 3873,250	 -378,600	 -3430,250	 9521	 -2283	 2462,100	 -7054	 3632	 -6023,450	 -8076	 -7948	 1545	 897,250	 -1309	 -7406,750	 2307	 -659	 -3296	 6907,650	 -4450	 1358	 1764,900	 9714	 5857	 -2668,250	 -3537,600	 9975	 1150	 -2957	 -6971	 3780	 9188	 -4914,050	 -9204	 -8871,450	 -8622,650	 -4006	 9866	 4500	 7974	 -514	 7667,200	 2126,300	 -6116	 -8786,600	 9990,700	 3813	 9127,950	 9400	 -6795,350	 -7753,650	 -6814	 2780,850	 -767	 7640	 -2706	 191,300	 9986,500	 8649,850	 -6102,850	 -2751	 -7147,550	 -2600	 7341,300	 -9521	 -6115,800	 -8448,900	 -5004	 -5712,750	 370	 -8712	 -7103,900	 1180	 -626,600	 -5889	 5099,400	 -9393	 3909,700	 -4672,300	 859,350	 -3183,200	 3404	 -2864,450	 8758,800	 -8855,700	 54,750	 -5814,400
	 1973	 -927	 -2243	 8514	 -6236	 -2488,850	 -4778	 -8253,250	 7375	 2634,350	 -73,150	 -2565,400	 9463	 3712	 4551,150	 -8539	 1185	 3287,250	 -7478	 -6643,800	 6113	 9122	 4316	 6453,300	 -902,200	 8279,050	 1174	 -243	 5222,100	 -1259	 7836,750	 9403,450	 2998	 -1046,650	 973,750	 -7355,700	 -9071	 694	 -5075,500	 -7817	 1590,150	 -4361	 1406,100	 -6176,850	 -7620,550	 -8974	 4823,900	 5259	 7037,200	 -5183	 -182,250	 8941	 7137,050	 -4269	 2694,250	 6880	 -2374	 8546	 -6611	 297,350	 -4400	 71	 9580,500	 -7996	 -3565	 -3845	 -373,650	 4402	 -3578,150	 -4849,800	 5921,450	 -8997	 -3968	 -1801	 -4630	 4328	 -7024,850	 -8249	 -1441,650	 8135	 -826	 2684	 4314,450	 6800,700	 805	 -8555,700	 1267	 9787	 5534,800	 -6440	 3050	 -5922	 6114	 4962	 -1193	 -7537,650	 -5559	 -8530	 -4386
	 571,750	 5256	 7836	 4479	 552,550	 -6382,850	 -3226,250	 6557	 4259	 -4752,450	 3297,500	 1205,200	 3877	 3966,600	 4835	 2539	 2842	 5288,400	 2447,700	 -3880	 4971	 -9648,150	 3574	 -7582,500	 4675	 -683,450	 -8305	 -1321	 6155	 8384,250	 3279,650	 -4131	 4469	 -447,950	 -2550	 -7714	 6361	 -2740,150	 8696,550	 -9473,700	 -6252,500	 1079,450	 -1901	 9424,250	 -2268,600	 8567,450	 3376,350	 7612,950	 -3925	 7433	 -6771	 327,700	 -8028	 1156	 -3714	 6123,750	 -2947	 -2795,450	 125,750	 5132,700	 6485	 -8017	 692	 -4511	 -922	 -8343	 7542	 -419	 262	 -7003,700	 -4694,650	 -3228	 -9135	 -6632,300	 -3278,450	 4209	 9532	 4031	 -2308	 -7613	 1735,050	 5874,700	 -311,100	 7078	 -6804	 -8279,650	 -50,550	 -5685	 -9319,950	 4350,150	 4818	 9997,650	 -1996,800	 4407,750	 -3347	 851	 170,600	 7274	 -345
